"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"02/01/2024 21:00:00 - 02/01/2024 21:15:00","Germany (DE)","55424.74","56050.10"
"02/01/2024 21:15:00 - 02/01/2024 21:30:00","Germany (DE)","54550.00","55161.73"
"02/01/2024 21:30:00 - 02/01/2024 21:45:00","Germany (DE)","53652.53","54275.37"
"02/01/2024 21:45:00 - 02/01/2024 22:00:00","Germany (DE)","52851.88","53623.80"
"02/01/2024 22:00:00 - 02/01/2024 22:15:00","Germany (DE)","52117.65","53405.62"
"02/01/2024 22:15:00 - 02/01/2024 22:30:00","Germany (DE)","51446.66","52316.48"
"02/01/2024 22:30:00 - 02/01/2024 22:45:00","Germany (DE)","50736.59","51483.52"
"02/01/2024 22:45:00 - 02/01/2024 23:00:00","Germany (DE)","49737.27","50818.71"
"02/01/2024 23:00:00 - 02/01/2024 23:15:00","Germany (DE)","48366.44","50269.49"
"02/01/2024 23:15:00 - 02/01/2024 23:30:00","Germany (DE)","47592.32","49156.32"
"02/01/2024 23:30:00 - 02/01/2024 23:45:00","Germany (DE)","47106.41","48652.36"
"02/01/2024 23:45:00 - 03/01/2024 00:00:00","Germany (DE)","46623.01","48192.52"
"03/01/2024 00:00:00 - 03/01/2024 00:15:00","Germany (DE)","45886.43","47164.94"
"03/01/2024 00:15:00 - 03/01/2024 00:30:00","Germany (DE)","45134.20","46111.62"
"03/01/2024 00:30:00 - 03/01/2024 00:45:00","Germany (DE)","44581.24","46007.32"
"03/01/2024 00:45:00 - 03/01/2024 01:00:00","Germany (DE)","44016.01","45265.79"
"03/01/2024 01:00:00 - 03/01/2024 01:15:00","Germany (DE)","43522.34","44813.30"
"03/01/2024 01:15:00 - 03/01/2024 01:30:00","Germany (DE)","43227.27","44528.87"
"03/01/2024 01:30:00 - 03/01/2024 01:45:00","Germany (DE)","42843.22","44182.14"
"03/01/2024 01:45:00 - 03/01/2024 02:00:00","Germany (DE)","42669.96","43817.05"
"03/01/2024 02:00:00 - 03/01/2024 02:15:00","Germany (DE)","42448.55","43475.73"
"03/01/2024 02:15:00 - 03/01/2024 02:30:00","Germany (DE)","41946.87","43062.14"
"03/01/2024 02:30:00 - 03/01/2024 02:45:00","Germany (DE)","41991.67","43159.21"
"03/01/2024 02:45:00 - 03/01/2024 03:00:00","Germany (DE)","42220.77","43482.15"
"03/01/2024 03:00:00 - 03/01/2024 03:15:00","Germany (DE)","42518.81","43679.67"
"03/01/2024 03:15:00 - 03/01/2024 03:30:00","Germany (DE)","42471.64","43460.78"
"03/01/2024 03:30:00 - 03/01/2024 03:45:00","Germany (DE)","42598.48","43588.74"
"03/01/2024 03:45:00 - 03/01/2024 04:00:00","Germany (DE)","42891.32","43894.62"
"03/01/2024 04:00:00 - 03/01/2024 04:15:00","Germany (DE)","43545.08","44349.72"
"03/01/2024 04:15:00 - 03/01/2024 04:30:00","Germany (DE)","43975.75","44861.89"
"03/01/2024 04:30:00 - 03/01/2024 04:45:00","Germany (DE)","44770.29","45303.86"
"03/01/2024 04:45:00 - 03/01/2024 05:00:00","Germany (DE)","45456.99","45810.54"
"03/01/2024 05:00:00 - 03/01/2024 05:15:00","Germany (DE)","46553.85","46824.37"
"03/01/2024 05:15:00 - 03/01/2024 05:30:00","Germany (DE)","47430.59","47057.36"
"03/01/2024 05:30:00 - 03/01/2024 05:45:00","Germany (DE)","48547.39","48190.48"
"03/01/2024 05:45:00 - 03/01/2024 06:00:00","Germany (DE)","49863.70","49758.57"
"03/01/2024 06:00:00 - 03/01/2024 06:15:00","Germany (DE)","52015.84","52304.60"
"03/01/2024 06:15:00 - 03/01/2024 06:30:00","Germany (DE)","53564.22","53477.86"
"03/01/2024 06:30:00 - 03/01/2024 06:45:00","Germany (DE)","54604.93","54028.99"
"03/01/2024 06:45:00 - 03/01/2024 07:00:00","Germany (DE)","55791.21","55132.87"
"03/01/2024 07:00:00 - 03/01/2024 07:15:00","Germany (DE)","57095.92","56588.41"
"03/01/2024 07:15:00 - 03/01/2024 07:30:00","Germany (DE)","58064.07","57773.25"
"03/01/2024 07:30:00 - 03/01/2024 07:45:00","Germany (DE)","59055.57","58901.13"
"03/01/2024 07:45:00 - 03/01/2024 08:00:00","Germany (DE)","59682.14","59692.24"
"03/01/2024 08:00:00 - 03/01/2024 08:15:00","Germany (DE)","60325.65","60398.93"
"03/01/2024 08:15:00 - 03/01/2024 08:30:00","Germany (DE)","60817.21","60628.38"
"03/01/2024 08:30:00 - 03/01/2024 08:45:00","Germany (DE)","61446.05","61235.35"
"03/01/2024 08:45:00 - 03/01/2024 09:00:00","Germany (DE)","61504.52","61678.16"
"03/01/2024 09:00:00 - 03/01/2024 09:15:00","Germany (DE)","61739.10","61767.04"
"03/01/2024 09:15:00 - 03/01/2024 09:30:00","Germany (DE)","62175.24","62336.59"
"03/01/2024 09:30:00 - 03/01/2024 09:45:00","Germany (DE)","62682.23","62603.34"
"03/01/2024 09:45:00 - 03/01/2024 10:00:00","Germany (DE)","62841.75","62409.33"
"03/01/2024 10:00:00 - 03/01/2024 10:15:00","Germany (DE)","63046.92","62737.64"
"03/01/2024 10:15:00 - 03/01/2024 10:30:00","Germany (DE)","63062.41","62881.11"
"03/01/2024 10:30:00 - 03/01/2024 10:45:00","Germany (DE)","63230.37","63266.91"
"03/01/2024 10:45:00 - 03/01/2024 11:00:00","Germany (DE)","63323.03","63453.42"
"03/01/2024 11:00:00 - 03/01/2024 11:15:00","Germany (DE)","63685.94","63900.95"
